날짜,일간수익률,누적수익률,최대낙폭(%),리스크상태
2026-03-28,0.0,0.0,0.0,Low
2026-03-30,0.0,0.0,0.0,Low
2026-03-31,-4.64923321854333,-4.649233,-4.65,Medium
2026-04-01,7.769905533063427,3.120672,0.0,Low
2026-04-02,0.0,3.120672,0.0,Low
2026-04-03,-1.4386476987328625,1.682025,-1.4,Low
2026-04-06,0.0,1.682025,-1.4,Low
2026-04-07,-0.6793310809375069,1.002694,-2.05,Low
2026-04-08,16.78682120348787,17.789515,0.0,Low
2026-04-09,-1.9285937457495017,15.860921,-1.64,Low
2026-04-10,-0.4944609380479455,15.36646,-2.06,Low
2026-04-13,-2.19511483837639,13.171345,-3.92,Low
2026-04-14,4.362358141427909,17.533703,-0.22,Low
2026-04-15,1.529313050074296,19.063016,0.0,Low
2026-04-21,4.238490633137737,23.301507,0.0,Low
2026-04-22,-1.704840217776893,21.596667,-1.38,Low
2026-04-23,3.866110241697096,25.462777,0.0,Low
2026-04-24,0.0,25.462777,0.0,Low
2026-04-25,0.0,25.462777,0.0,Low
2026-04-27,3.591162055581531,29.053939,0.0,Low
2026-04-28,6.362951722587535,35.416891,0.0,Low
2026-04-30,0.0,35.416891,0.0,Low
2026-05-01,0.0,35.416891,0.0,Low
