날짜,일간수익률,누적수익률,평가금액,현금,투자금액,보유종목수,종료거래수,승률(%),최대낙폭(%),리스크상태
2026-04-09,0.0,0.0,5000000.0,247200.0,4752800.0,3,0,0.0,0.0,Low
2026-04-10,-1.0,-1.0,4950000.0,247200.0,4702800.0,3,0,0.0,-1.0,Low
2026-04-13,-1.034343,-2.024,4898800.0,247200.0,4651600.0,3,0,0.0,-2.02,Low
2026-04-14,-1.363599,-3.36,4832000.0,1564000.0,3268000.0,2,2,0.0,-3.36,Low
2026-04-15,1.69702,-1.72,4914000.0,2825.0,4911175.0,3,0,0.0,-1.72,Low
2026-04-16,1.822344,0.071,5003550.0,2825.0,5000725.0,3,0,0.0,0.0,Low
2026-04-17,1.376523,1.4485,5072425.0,2825.0,5069600.0,3,0,0.0,0.0,Low
2026-04-20,-0.651069,0.788,5039400.0,2825.0,5036575.0,3,0,0.0,-0.65,Low
2026-04-21,3.962277,4.7815,5239075.0,2825.0,5236250.0,3,0,0.0,0.0,Low
2026-04-22,-0.207575,4.564,5228200.0,2825.0,5225375.0,3,0,0.0,-0.21,Low
2026-04-23,-0.168796,4.3875,5219375.0,2825.0,5216550.0,3,0,0.0,-0.38,Low
2026-04-24,7.74039,12.4675,5623375.0,496265.0,5127110.0,3,1,100.0,0.0,Low
2026-04-27,-0.645342,11.7417,5587085.0,496265.0,5090820.0,3,0,0.0,-0.65,Low
2026-04-28,0.02112,11.7653,5588265.0,527065.0,5061200.0,3,1,100.0,-0.62,Low
2026-04-29,-0.310114,11.4187,5570935.0,527065.0,5043870.0,3,0,0.0,-0.93,Low
2026-04-30,-1.411074,9.8465,5492325.0,2119385.0,3372940.0,2,1,0.0,-2.33,Low
2026-05-04,4.267045,14.5337,5726685.0,681185.0,5045500.0,3,1,100.0,0.0,Low
2026-05-06,3.434448,18.4673,5923365.0,681185.0,5242180.0,3,0,0.0,0.0,Low
2026-05-07,-3.414951,14.4217,5721085.0,681185.0,5039900.0,3,0,0.0,-3.41,Low
2026-05-08,-2.421569,11.6509,5582545.0,853185.0,4729360.0,3,1,0.0,-5.75,Medium
2026-05-11,4.44206,16.6105,5830525.0,1451325.0,4379200.0,3,2,50.0,-1.57,Low
2026-05-12,-3.419932,12.6225,5631125.0,1118125.0,4513000.0,3,1,0.0,-4.93,Medium
2026-05-13,-2.305046,10.0265,5501325.0,1118125.0,4383200.0,3,0,0.0,-7.13,Medium
2026-05-14,2.348525,12.6105,5630525.0,1040125.0,4590400.0,3,1,0.0,-4.94,Medium
